Filière;Niveau de formation;N° Module;Intitulé du module;Masse horaire (h);Compétences Pedagogiques
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Connaître les techniques de prise de notes
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Consulter des ouvrages spécialisés
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Distinguer la nature et les exigences de lemploi
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Connaitre une méthode dobservation et de consignation des observations
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Distinguer les objets de lobservation
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Décrire le processus de travail, les tâches et les opérations
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Désigner les habiletés requises
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Distinguer les attitudes et comportements requis par le métier
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Distinguer les différentes composantes du programme
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Interpréter des informations présentées sous forme de schéma ou de tableau
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Distinguer une démarche de formation
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Décrire une évaluation
Gestion des Entreprises;1ère Année;M101;Métier et formation;30;Distinguer les types dévaluation
Gestion des Entreprises;1ère Année;M102;Droit fondamental;60;Définir la règle de droit
Gestion des Entreprises;1ère Année;M102;Droit fondamental;60;Reconnaître les caractéristiques de la règle de droit
Gestion des Entreprises;1ère Année;M102;Droit fondamental;60;Reconnaitre les sources directes du droit
Gestion des Entreprises;1ère Année;M102;Droit fondamental;60;Reconnaitre les sources indirectes du droit
Gestion des Entreprises;1ère Année;M102;Droit fondamental;60;Reconnaitre les branches du droit privé
Gestion des Entreprises;1ère Année;M102;Droit fondamental;60;Reconnaitre les branches du droit public
Gestion des Entreprises;1ère Année;M102;Droit fondamental;60;Reconnaitre les sujets des droits subjectifs
Gestion des Entreprises;1ère Année;M102;Droit fondamental;60;Reconnaitre les sources des droits subjectifs
Gestion des Entreprises;1ère Année;M102;Droit fondamental;60;Classifier les droits subjectifs
Gestion des Entreprises;1ère Année;M102;Droit fondamental;60;Décrire lorganisation des tribunaux de droit commun
